geslacht,leeftijdsklasse,national_actual_cost,national_insured_years,national_rate_per_insured_year
M,0 t/m  4 jaar,1064189598.05,392622.77999999997,2710.4632035105046
V,0 t/m  4 jaar,820539309.02,374313.2,2192.119618063162
M,5 t/m  9 jaar,688523758.32,450795.38,1527.3531825459258
V,5 t/m  9 jaar,540714155.45,429178.12,1259.8828557476324
M,10 t/m 14 jaar,614947032.47,478025.24,1286.432140005829
V,10 t/m 14 jaar,525731421.14,454107.12,1157.7255629464696
M,15 t/m 19 jaar,662763979.62,499535.93,1326.7593776888082
V,15 t/m 19 jaar,739233919.4499999,473823.05,1560.1476531164956
M,20 t/m 24 jaar,723238005.74,549230.75,1316.8199445133034
V,20 t/m 24 jaar,1071685528.97,533252.97,2009.7131929148
M,25 t/m 29 jaar,772397957.61,556633.56,1387.6237674386718
V,25 t/m 29 jaar,1402013667.26,547303.54,2561.674765085568
M,30 t/m 34 jaar,863650148.36,583365.09,1480.4625150949641
V,30 t/m 34 jaar,1780847588.32,572995.36,3107.96162174856
M,35 t/m 39 jaar,857391296.01,551284.79,1555.2602059091816
V,35 t/m 39 jaar,1492282093.12,546208.86,2732.0722939572966
M,40 t/m 44 jaar,888425754.03,517881.08,1715.5014700092925
V,40 t/m 44 jaar,1244211327.1200001,522179.71,2382.72629765718
M,45 t/m 49 jaar,1015236052.16,507406.95,2000.831979459485
V,45 t/m 49 jaar,1288733520.68,518518.31,2485.4156465178635
M,50 t/m 54 jaar,1462573764.0,606415.54,2411.834241582925
V,50 t/m 54 jaar,1747684708.5,616790.18,2833.5157808446297
M,55 t/m 59 jaar,1915777240.19,624641.93,3067.0007058123683
V,55 t/m 59 jaar,1977305702.77,625813.05,3159.5788914436985
M,60 t/m 64 jaar,2305741641.46,594349.47,3879.437532702772
V,60 t/m 64 jaar,2237830673.86,599873.42,3730.5048019297137
M,65 t/m 69 jaar,2532112799.7599998,516804.99,4899.5517627645195
V,65 t/m 69 jaar,2382592570.25,530150.01,4494.185655584539
M,70 t/m 74 jaar,2790965246.18,452193.36,6172.061540620587
V,70 t/m 74 jaar,2534675379.5699997,473546.75,5352.534632684101
M,75 t/m 79 jaar,2940673650.28,389711.79,7545.765167330453
V,75 t/m 79 jaar,2772555682.07,428003.95,6477.874052494142
M,80 t/m 84 jaar,1955222494.06,224253.84,8718.791589298984
V,80 t/m 84 jaar,2111750016.08,274960.19,7680.202781646317
M,85 t/m 89 jaar,1142600236.32,116555.1,9803.090867066305
V,85 t/m 89 jaar,1573856156.62,175249.01,8980.68500712215
M,90+,517704078.27,47035.24,11006.727684816746
V,90+,1062127479.12,106891.52,9936.49897690668
