benchmark_position,gemeentenaam,insured_years,scr,percentage_difference,euro_gap,euro_gap_per_insured_year
Higher than expected,HEERLEN,85434.42,1.2430028478736843,24.30028478736845,69818170.217776,817.2136033436641
Higher than expected,BRUNSSUM,27259.22,1.2191206712655474,21.91206712655473,20886512.50251615,766.2182741294927
Higher than expected,KERKRADE,42638.07,1.2101747896556287,21.017478965562876,31318499.69506243,734.5196369127972
Higher than expected,STADSKANAAL,31379.16,1.1872807549165545,18.72807549165545,20470067.164801136,652.3459252829309
Higher than expected,EMMEN,107229.08,1.1805889341854612,18.05889341854612,64808343.340889096,604.3914891453801
Higher than expected,ALBRANDSWAARD,26075.78,1.179919559669724,17.991955966972405,14358653.78419532,550.6509789619072
Higher than expected,VEENDAM,27261.27,1.1779478574551905,17.79478574551905,16069545.75678809,589.4643117062444
Higher than expected,LANDGRAAF,36228.58,1.1718184750754574,17.181847507545744,21770128.143702164,600.9103349814474
Higher than expected,SITTARD-GELEEN,90763.16,1.1486817503272817,14.868175032728171,46293719.61057293,510.049667845114
Higher than expected,MAASTRICHT,110576.28,1.138131868149364,13.813186814936396,51205735.90325582,463.0806525889261
Lower than expected,KOGGENLAND,23176.58,0.8473089275861376,-15.269107241386235,-11390354.02381114,-491.4596555579442
Lower than expected,NIEUWKOOP,29101.91,0.8562257969518476,-14.377420304815235,-13573797.474257678,-466.4229074400161
Lower than expected,MEDEMBLIK,45175.91,0.8660199785204962,-13.398002147950384,-19629209.645008788,-434.50612605277433
Lower than expected,BERGEN NH,29355.42,0.8670946396393493,-13.29053603606507,-15214337.474286884,-518.2803541658367
Lower than expected,AALSMEER,32264.44,0.8698420698949895,-13.015793010501053,-13120329.490037128,-406.6498439159994
Lower than expected,KAAG EN BRAASSEM,28641.08,0.874305734810918,-12.5694265189082,-11579251.818297192,-404.28823976949167
Lower than expected,LANSINGERLAND,64866.63,0.8751500501234968,-12.48499498765032,-23689882.666208863,-365.20908618512885
Lower than expected,HOLLANDS KROON,48567.34,0.8770418502421949,-12.295814975780504,-19355763.57207361,-398.5345619519951
Lower than expected,SINT-MICHIELSGESTEL,29881.93,0.8822312216073387,-11.776877839266133,-11505679.420677423,-385.03802869083165
Lower than expected,SCHAGEN,50792.34,0.8873785740715932,-11.262142592840686,-19370876.61040622,-381.3739750995174
